GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CatellarDatabase,com.castellar.carlos.picon,Language,19,0,0,0,9,0,5,0,5,0
CatellarDatabase,com.castellar.carlos.picon,server,7,0,0,0,3,0,2,0,2,0
CatellarDatabase,com.castellar.carlos.picon,Orders,89,0,0,0,37,0,19,0,19,0
CatellarDatabase,com.castellar.carlos.picon,Users,157,0,0,0,61,0,31,0,31,0
CatellarDatabase,com.castellar.carlos.picon,CastellarDBApplication,474,38,0,0,102,13,32,3,32,3
CatellarDatabase,com.castellar.carlos.picon,Users_has_Orders,26,0,0,0,12,0,6,0,6,0
CatellarDatabase,com.castellar.carlos.picon,Author,31,35,0,0,13,12,9,4,9,4
CatellarDatabase,com.castellar.carlos.picon,Books_has_Author,26,0,0,0,12,0,6,0,6,0
CatellarDatabase,com.castellar.carlos.picon,Books,94,56,0,0,40,19,27,4,27,4
CatellarDatabase,com.castellar.carlos.picon,Images,59,0,0,0,25,0,13,0,13,0
